"AMOUNT","CASE","CREATED_AT","MERCHANT","RISK_SCORE","USER_ACCOUNT_AGGREGATE_ORDER_COUNT"
"2.0","544435083","2018-01-24","7625","46.34","3"
"34.5","538078182","2018-01-18","7625","25.14","5"
"1.95","547715767","2018-01-28","7625","49.84","10"
"796.39","522673124","2018-01-02","2207","40.04",""
"110.95","526666345","2018-01-06","7625","29.11","5"
"18.0","523017332","2018-01-02","8743","48.94","8"
"9.8","549165445","2018-01-29","7625","26.2","5"
"63.1","528343045","2018-01-08","7625","27.67","1"
"8.0","540754180","2018-01-20","8743","49.69","161"
"10.4","544476400","2018-01-24","7625","28.43","10"
"1.85","538841088","2018-01-18","7625","48.58","8"
"19.28","529805604","2018-01-09","2000340","48.17","1"
"1.9","536146796","2018-01-16","7625","28.26","3"
"13.0","546117200","2018-01-26","7625","28.07","1"
"4.0","541529219","2018-01-21","7625","23.17","9"
"28.6","543854034","2018-01-24","7625","27.49","8"
"3700.0","542411181","2018-01-22","2207","45.95",""
"2.0","546949653","2018-01-27","7625","49.82","6"
"16.15","542184153","2018-01-22","7625","27.73","42"
"162.43","548923760","2018-01-29","2207","49.6",""
"28.0","544659315","2018-01-25","7625","24.43","1"
"7.0","534426590","2018-01-14","8743","44.76","19"
"5.0","544776765","2018-01-25","7625","27.96","36"
"5.0","525512491","2018-01-05","7625","24.01","5"
"1309.28","533975619","2018-01-14","2001715","47.02","4"
"9.63","535935260","2018-01-15","14731","47.03","25"
"497.93","536151358","2018-01-16","155","30.76",""
"46.23","522185129","2018-01-02","7625","41.29","13"
"2.0","531331401","2018-01-11","8743","44.53","42"
"4.0","534091060","2018-01-13","7625","26.83","3"
"9.0","547682586","2018-01-28","8743","45.58","175"
"8.91","523859635","2018-01-03","7625","43.32","1"
"14.0","534381820","2018-01-14","8743","46.19","67"
"4.0","527353078","2018-01-07","8743","49.08","210"
"12.55","528416764","2018-01-08","7625","49.78","64"
"8.0","535546891","2018-01-15","8743","49.81","44"
"9.0","522013417","2018-01-01","8743","45.81","6"
"15.0","548514004","2018-01-29","8743","49.27","26"
"21.68","529002673","2018-01-08","15252","49.25","1"
"31.0","547686377","2018-01-28","8743","43.28","11"
"1219.0","538840799","2018-01-18","1857","44.5",""
"5.14","538916027","2018-01-18","7625","24.34","5"
"22.0","536199733","2018-01-16","8743","45.38","5"
"5.0","540934315","2018-01-21","7625","21.87","5"
"27.0","525338057","2018-01-05","7625","42.15","357"
"7.0","521458294","2018-01-01","7625","45.55","17"
"2.0","534539100","2018-01-14","7625","47.44","45"
"3.7","544064426","2018-01-24","7625","49.91","10"
"2.0","538605694","2018-01-18","7625","40.34","10"
"20.95","526441881","2018-01-06","14731","45.71","17"
"391.48","526672008","2018-01-06","8886","45.75",""
"16.86","542750870","2018-01-22","7625","29.89","4"
"17.44","544087500","2018-01-24","8497","34.33",""
"9.0","548462751","2018-01-29","8743","47.9","249"
"32.5","541000796","2018-01-21","5195","32.78","0"
"399.0","534659724","2018-01-14","5195","28.42","0"
"23.26","540510497","2018-01-20","7625","27.83","1"
"7.0","547759343","2018-01-28","8743","47.92","53"
"6.26","522109641","2018-01-01","7625","28.91","14"
"16.0","525773262","2018-01-05","8743","44.05","112"
"576.0","538226406","2018-01-18","155","42.76",""
"45.6","530568445","2018-01-10","7625","23.97","6"
"4.0","547957518","2018-01-28","7625","26.06","2"
"2.0","524083385","2018-01-03","7625","27.06","4"
"12.0","548588242","2018-01-29","7625","28.31","8"
"9.0","535302895","2018-01-15","8743","46.56","34"
"4.0","534304844","2018-01-14","7625","40.76","7"
"9.0","524823714","2018-01-04","8743","49.14","1005"
"11.0","526603019","2018-01-06","7625","29.53","2"
"12.0","533305158","2018-01-13","7625","44.89","6"
"12.86","538142612","2018-01-18","14731","47.36","29"
"2.0","525474542","2018-01-05","7625","48.47","20"
"30.48","530114583","2018-01-09","7625","27.54","1"
"12.0","541539856","2018-01-21","8743","48.95","10"
"9.0","541901465","2018-01-22","8743","48.56","14"
"17.35","540047581","2018-01-20","7625","25.17","13"
"7.0","548915802","2018-01-29","8743","42.46","17"
"3.4","538434726","2018-01-18","7625","28.5","3"
"38.0","541003259","2018-01-21","7625","41.88","10"
"9.0","535985688","2018-01-15","8743","43.9","7"
"10.0","535329862","2018-01-15","8743","44.18","37"
"4.0","549590673","2018-01-29","7625","22.67","5"
"25.0","531203026","2018-01-11","7625","25.46","1"
"1.95","539285251","2018-01-19","7625","49.07","7"
"6.39","523104438","2018-01-03","7625","46.46","6"
"55.0","537815768","2018-01-17","8743","49.32","28"
"670.0","524398623","2018-01-04","2001723","45.31",""
"92.0","549054471","2018-01-29","7625","29.47","11"
"21.19","531507406","2018-01-11","7625","28.44","1"
"7.6","534096598","2018-01-13","7625","25.52","5"
"2.0","540937596","2018-01-21","7625","47.53","15"
"22.96","536209026","2018-01-16","7625","29.91","8"
"23.0","543755433","2018-01-24","7625","28.92","2"
"114.0","524425587","2018-01-04","6189","27.73","38"
"724.99","902508100","2018-01-24","2007014","32.19",""
"6.0","548921742","2018-01-29","7625","23.42","2"
"3.97","535368247","2018-01-15","7625","28.33","6"
"514.0","534703900","2018-01-14","4483","40.5",""
"26.0","542748463","2018-01-22","7625","27.58","24"
"21.0","537437485","2018-01-17","7625","29.94","4"
"538.0","902048590","2018-01-08","2007014","36.86",""
"9.0","531747215","2018-01-11","8743","47.85","10"
"10.48","522110517","2018-01-01","7625","46.88","5"
"6.01","540758471","2018-01-20","7625","21.09","5"
"369.94","535935820","2018-01-15","155","46.96",""
"1.95","531178314","2018-01-11","7625","49.68","13"
"43.86","543991048","2018-01-24","14831","42.14",""
"4.0","541279262","2018-01-21","7625","48.49","80"
"7.0","529378727","2018-01-09","8743","49.56","21"
"13.3","541596335","2018-01-21","7625","21.64","4"
"2.0","537151470","2018-01-17","2209","32.9","12172"
"3.12","521614514","2018-01-01","7625","47.33","15"
"4.0","534215436","2018-01-14","8743","48.17","11"
"4.0","533661506","2018-01-13","7625","27.93","3"
"163.0","531186790","2018-01-11","7625","28.66","2"
"30.33","548904648","2018-01-29","7625","28.67","2"
"5.0","521462268","2018-01-01","8743","49.27","321"
"11.6","541904391","2018-01-22","7625","45.75","9"
"7.0","540049105","2018-01-20","8743","49.35","126"
"5.0","531319583","2018-01-11","7625","48.31","14"
"59.21","541726511","2018-01-21","7625","27.42","4"
"69.99","538652760","2018-01-18","2000240","43.27",""
"6.0","541824520","2018-01-21","7625","39.74","4"
"80.4","531318407","2018-01-11","7625","24.77","2"
"3.0","548899672","2018-01-29","8743","49.21","640"
"39.61","521970054","2018-01-01","848","33.17",""
"37.44","540882659","2018-01-20","7625","26.52","2"
