case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
531968744,11/01/2018,$14.36,48.56,9,14731
539855265,19/01/2018,$6,48.38,6,8743
529499761,09/01/2018,$71.8,20.21,2,7625
546668688,27/01/2018,$703.9,30.19,1,7625
542410679,22/01/2018,$792.09,47.98,,2207
542727824,22/01/2018,$24,21.21,3,7625
534468418,14/01/2018,$10,46.6,6,8743
539194703,19/01/2018,$2,49.17,10,7625
533621560,13/01/2018,$1372.25,41.12,,12885
546122290,26/01/2018,$2,43.1,,1632
531192572,11/01/2018,$2,26.36,5,7625
894249326,10/01/2018,$3679.96,45.73,,2007674
547762091,28/01/2018,$8,45.02,5,8743
537188567,17/01/2018,$12,23,12,7625
539198812,19/01/2018,$4,27.15,20,7625
542194857,22/01/2018,$2.85,49.76,66,7625
942825063,18/01/2018,$297.25,42.99,2,6632
530123337,09/01/2018,$10.33,29.66,2,7625
533370051,13/01/2018,$6.65,27.13,14,7625
525030479,04/01/2018,$2,29.27,6,7625
538009861,18/01/2018,$221.48,41.77,,155
544435083,24/01/2018,$2,46.34,3,7625
538078182,18/01/2018,$34.5,25.14,5,7625
547715767,28/01/2018,$1.95,49.84,10,7625
522673124,02/01/2018,$796.39,40.04,,2207
526666345,06/01/2018,$110.95,29.11,5,7625
523017332,02/01/2018,$18,48.94,8,8743
549165445,29/01/2018,$9.8,26.2,5,7625
528343045,08/01/2018,$63.1,27.67,1,7625
540754180,20/01/2018,$8,49.69,161,8743
544476400,24/01/2018,$10.4,28.43,10,7625
538841088,18/01/2018,$1.85,48.58,8,7625
529805604,09/01/2018,$19.28,48.17,1,2000340
536146796,16/01/2018,$1.9,28.26,3,7625
546117200,26/01/2018,$13,28.07,1,7625
541529219,21/01/2018,$4,23.17,9,7625
543854034,24/01/2018,$28.6,27.49,8,7625
542411181,22/01/2018,$3700,45.95,,2207
546949653,27/01/2018,$2,49.82,6,7625
542184153,22/01/2018,$16.15,27.73,42,7625
548923760,29/01/2018,$162.43,49.6,,2207
544659315,25/01/2018,$28,24.43,1,7625
534426590,14/01/2018,$7,44.76,19,8743
544776765,25/01/2018,$5,27.96,36,7625
525512491,05/01/2018,$5,24.01,5,7625
533975619,14/01/2018,$1309.28,47.02,4,2001715
535935260,15/01/2018,$9.63,47.03,25,14731
536151358,16/01/2018,$497.93,30.76,,155
522185129,02/01/2018,$46.23,41.29,13,7625
531331401,11/01/2018,$2,44.53,42,8743
534091060,13/01/2018,$4,26.83,3,7625
547682586,28/01/2018,$9,45.58,175,8743
523859635,03/01/2018,$8.91,43.32,1,7625
534381820,14/01/2018,$14,46.19,67,8743
527353078,07/01/2018,$4,49.08,210,8743
528416764,08/01/2018,$12.55,49.78,64,7625
535546891,15/01/2018,$8,49.81,44,8743
522013417,01/01/2018,$9,45.81,6,8743
548514004,29/01/2018,$15,49.27,26,8743
529002673,08/01/2018,$21.68,49.25,1,15252
547686377,28/01/2018,$31,43.28,11,8743
538840799,18/01/2018,$1219,44.5,,1857
538916027,18/01/2018,$5.14,24.34,5,7625
536199733,16/01/2018,$22,45.38,5,8743
540934315,21/01/2018,$5,21.87,5,7625
525338057,05/01/2018,$27,42.15,357,7625
521458294,01/01/2018,$7,45.55,17,7625
534539100,14/01/2018,$2,47.44,45,7625
544064426,24/01/2018,$3.7,49.91,10,7625
538605694,18/01/2018,$2,40.34,10,7625
526441881,06/01/2018,$20.95,45.71,17,14731
526672008,06/01/2018,$391.48,45.75,,8886
542750870,22/01/2018,$16.86,29.89,4,7625
544087500,24/01/2018,$17.44,34.33,,8497
548462751,29/01/2018,$9,47.9,249,8743
541000796,21/01/2018,$32.5,32.78,0,5195
534659724,14/01/2018,$399,28.42,0,5195
540510497,20/01/2018,$23.26,27.83,1,7625
547759343,28/01/2018,$7,47.92,53,8743
522109641,01/01/2018,$6.26,28.91,14,7625
525773262,05/01/2018,$16,44.05,112,8743
538226406,18/01/2018,$576,42.76,,155
530568445,10/01/2018,$45.6,23.97,6,7625
547957518,28/01/2018,$4,26.06,2,7625
524083385,03/01/2018,$2,27.06,4,7625
548588242,29/01/2018,$12,28.31,8,7625
535302895,15/01/2018,$9,46.56,34,8743
534304844,14/01/2018,$4,40.76,7,7625
524823714,04/01/2018,$9,49.14,1005,8743
526603019,06/01/2018,$11,29.53,2,7625
