case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
546463738,2018-01-26,8.55,48.13,12,7625
527682664,2018-01-07,16.00,46.77,100,7625
539771457,2018-01-19,6.00,24.59,8,7625
525012372,2018-01-04,12.52,26.27,2,7625
533299672,2018-01-13,6.00,27.36,1,7625
541926093,2018-01-22,10.00,47.00,412,8743
545305763,2018-01-25,2.00,29.50,98,7625
525476060,2018-01-05,5.00,24.17,46,7625
544697318,2018-01-25,87.75,27.80,1,14321
524076522,2018-01-03,1.03,28.22,1,7625
548009062,2018-01-28,19.00,27.05,4,7625
540046636,2018-01-20,6.00,48.70,16,8743
543260428,2018-01-23,629.00,39.91,2,6189
534653615,2018-01-14,6.00,28.16,3,7625
543866177,2018-01-24,3.00,48.75,371,8743
541978691,2018-01-22,88.02,30.68,,1755
547835856,2018-01-28,3.04,28.65,16,7625
528369172,2018-01-08,15.00,44.01,12,8743
523693582,2018-01-03,1.03,27.76,1,7625
521461560,2018-01-01,6.00,49.29,6,8743
539772137,2018-01-17,10.85,41.61,73,7625
541178263,2018-01-21,10.00,45.51,76,8743
544066015,2018-01-24,4.00,29.18,1,7625
534429817,2018-01-14,13.70,31.92,23,7625
541958607,2018-01-22,2034.83,42.49,,12507
539351329,2018-01-14,3.00,28.92,6,7625
533300450,2018-01-13,5.00,48.04,1322,8743
534015244,2018-01-13,7.00,44.29,,1632
542911315,2018-01-23,16.00,48.62,303,8743
523136369,2018-01-03,5.00,48.17,15,8743
531869412,2018-01-11,7.00,47.88,234,8743
541946599,2018-01-22,2.00,47.77,117,8743
528502044,2018-01-08,2.00,30.10,11624,2209
525336569,2018-01-05,8.00,46.48,6,8743
544899152,2018-01-25,7.00,49.46,6,8743
541541526,2018-01-21,40.00,24.15,1,7625
542758010,2018-01-22,31.20,46.06,,1632
547633657,2018-01-28,6.00,48.86,1686,8743
542750181,2018-01-22,34.08,48.37,2,7605
537005777,2018-01-17,9.00,47.58,7,8743
539181030,2018-01-19,8.00,49.01,552,8743
902292134,2018-01-29,824.99,46.70,,2007014
538245078,2018-01-18,36.00,39.17,6,7625
543260528,2018-01-23,34.00,18.21,3,7625
540162799,2018-01-20,836.09,16.53,,8886
541890256,2018-01-22,888.17,47.51,1,534
540052624,2018-01-20,15.00,21.09,4,7625
